Ticker,Insider,Title,Date,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-03-16 09:33:25,EFSI,Eagle Financial Services Inc,Dir,P - Purchase,33.0,909,13559,29%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/EFSI_d.png,reports/graphs/EFSI_w.png
2026-03-16 09:33:25,OFLX,"Omega Flex, Inc.",CEO,P - Purchase,29.5,1000,3487,29%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/OFLX_d.png,reports/graphs/OFLX_w.png
2026-03-16 09:33:25,FFIN,First Financial Bankshares Inc,Dir,P - Purchase,29.26,1000,1024444,29%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/FFIN_d.png,reports/graphs/FFIN_w.png
2026-03-16 09:33:25,MGEE,Mge Energy Inc,Dir,P - Purchase,77.74,373,9362,28%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/MGEE_d.png,reports/graphs/MGEE_w.png
2026-03-16 09:33:25,NXRT,"Nexpoint Residential Trust, Inc.",See Remarks,P - Purchase,26.14,1000,455491,26%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/NXRT_d.png,reports/graphs/NXRT_w.png
2026-03-16 09:33:25,TRST,Trustco Bank Corp N Y,"EVP, COO",P - Purchase,42.55,588,41136,25%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/TRST_d.png,reports/graphs/TRST_w.png
2026-03-16 09:33:25,FRST,Primis Financial Corp.,Dir,P - Purchase,12.8,1925,91944,24%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/FRST_d.png,reports/graphs/FRST_w.png
2026-03-16 09:33:25,LCTX,"Lineage Cell Therapeutics, Inc.","Pres, CEO",P - Purchase,1.63,15000,255516,24%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/LCTX_d.png,reports/graphs/LCTX_w.png
2026-03-16 09:33:25,ENOV,Enovis Corp,Chief Administrative Officer,P - Purchase,23.93,1000,47640,23%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ENOV_d.png,reports/graphs/ENOV_w.png
2026-03-16 09:33:25,VEEE,"Twin Vee Powercats, Co.",Dir,P - Purchase,0.42,50000,150000,21%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/VEEE_d.png,reports/graphs/VEEE_w.png
