ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
FFAI,FFAI,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.33,$0.99 - $1.04,1.23,0.96,0.0,2026-03-19,12.4,-74.1,1.01,1.23,-67.9,0.87,,,,,,
UPBD,UPBD,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,17.7,$17.6 - $18.32,21.47,17.06,5.9,2026-03-19,14.1,-22.3,17.96,21.47,-1.4,0.92,,,,,,
PAR,PAR,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,14.45,$32.51 - $33.83,37.73,31.51,0.0,2026-03-19,21.9,-63.6,33.17,37.73,-56.4,0.46,,,,,,
SRCO,SRCO,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.09,$0.11 - $0.11,0.13,0.11,0.0,2026-03-19,0.0,-36.2,0.11,0.13,-20.3,0.5,,,,,,
GTLB,GTLB,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,22.63,$34.49 - $35.9,44.6,33.44,0.0,2026-03-19,15.1,-41.0,35.19,44.6,-35.7,0.4,,,,,,
UFI,UFI,Bull Flag Pullback,⭐⭐ MUY BUENA,75,3.67,$3.6 - $3.74,4.28,3.79,0.0,2026-03-19,,,,,,,31.3,-14.3,3.9,3.9,Bearish,True
IAUX,IAUX,Oversold Bounce,⭐⭐ MUY BUENA,75,1.4,$0.89 - $0.93,1.57,0.86,0.32,2026-03-19,18.7,-32.7,0.91,1.57,53.9,7.78,,,,,,
FRD,FRD,Oversold Bounce,⭐⭐ MUY BUENA,70,17.06,$18.11 - $18.85,21.38,17.55,0.0,2026-03-19,32.6,-20.2,18.48,21.38,-7.7,2.89,,,,,,
OTH,OTH,Oversold Bounce,⭐⭐ MUY BUENA,70,2.27,$2.16 - $2.25,3.25,2.09,5.59,2026-03-19,40.3,-30.2,2.21,3.25,2.9,1.5,,,,,,
CAT,CAT,Bull Flag Pullback,⭐ BUENA,60,693.62,$679.75 - $707.49,775.0,673.96,4.14,2026-03-19,,,,,,,35.6,-10.5,694.8,694.8,Bearish,False
GRND,GRND,Bull Flag Pullback,⭐ BUENA,60,12.48,$12.23 - $12.73,13.89,11.27,1.16,2026-03-19,,,,,,,41.0,-10.2,11.62,11.62,Bearish,False
LUCK,LUCK,Bull Flag Pullback,⭐ BUENA,60,7.92,$7.76 - $8.08,9.26,8.02,0.0,2026-03-19,,,,,,,47.0,-14.4,8.27,8.27,Bearish,False
FOSL,FOSL,Bull Flag Pullback,⭐ BUENA,60,4.39,$4.3 - $4.48,4.88,3.91,1.03,2026-03-19,,,,,,,49.7,-10.0,4.03,4.03,Bearish,False
WRB,WRB,Oversold Bounce,MODERADA,55,67.26,$65.46 - $68.13,75.01,63.46,2.04,2026-03-19,30.0,-8.2,66.8,75.01,0.7,0.76,,,,,,
ALLY,ALLY,Oversold Bounce,MODERADA,55,37.59,$36.56 - $38.05,43.34,35.44,2.67,2026-03-19,28.9,-19.6,37.3,43.34,0.8,1.07,,,,,,
ECL,ECL,Oversold Bounce,MODERADA,55,261.84,$246.76 - $256.83,279.81,239.2,0.79,2026-03-19,3.8,-14.9,251.79,279.81,4.0,0.9,,,,,,
LAKE,LAKE,Oversold Bounce,MODERADA,55,8.37,$10.59 - $11.02,15.78,10.26,0.0,2026-03-19,23.1,-17.2,10.81,15.78,-22.5,0.77,,,,,,
GEF,GEF,Oversold Bounce,MODERADA,55,64.46,$60.83 - $63.31,69.73,58.97,0.96,2026-03-19,15.3,-15.4,62.07,69.73,3.8,0.94,,,,,,
VIRC,VIRC,Oversold Bounce,MODERADA,55,6.02,$6.15 - $6.41,7.2,5.97,21.87,2026-03-19,22.7,-13.9,6.28,7.2,-4.1,1.13,,,,,,
GLOO,GLOO,Oversold Bounce,MODERADA,55,5.64,$5.35 - $5.57,6.8,5.19,2.56,2026-03-19,29.4,-19.1,5.46,6.8,3.3,0.74,,,,,,
THM,THM,Oversold Bounce,MODERADA,55,2.19,$1.82 - $1.9,2.92,1.77,1.73,2026-03-19,24.3,-39.3,1.86,2.92,17.7,0.74,,,,,,
UA,UA,Oversold Bounce,MODERADA,55,5.94,$3.96 - $4.12,4.57,3.84,-0.65,2026-03-19,11.3,-24.6,4.04,4.57,47.0,0.76,,,,,,
NKE,NKE,Oversold Bounce,MODERADA,55,53.47,$59.07 - $61.48,65.86,57.26,0.0,2026-03-19,9.2,-18.8,60.27,65.86,-11.3,0.89,,,,,,
UAA,UAA,Oversold Bounce,MODERADA,55,6.12,$4.15 - $4.32,4.81,4.02,-0.62,2026-03-19,11.3,-24.8,4.24,4.81,44.5,0.49,,,,,,
CMC,CMC,Oversold Bounce,MODERADA,55,61.46,$55.66 - $57.94,71.19,53.96,1.3,2026-03-19,13.7,-26.1,56.8,71.19,8.2,0.81,,,,,,
CPAY,CPAY,Oversold Bounce,MODERADA,55,285.92,$286.39 - $298.07,323.9,277.62,4.58,2026-03-19,25.7,-19.8,292.23,323.9,-2.2,0.8,,,,,,
NNUP,NNUP,Oversold Bounce,MODERADA,55,1.51,$1.48 - $1.54,1.65,1.43,1.85,2026-03-19,29.8,-15.7,1.51,1.65,0.0,0.02,,,,,,
CRM,CRM,Oversold Bounce,MODERADA,50,194.34,$197.55 - $205.62,264.61,191.5,24.78,2026-03-19,44.9,-27.0,201.58,264.61,-3.6,0.73,,,,,,
DASH,DASH,Oversold Bounce,MODERADA,50,164.99,$170.55 - $177.52,234.89,165.33,0.0,2026-03-19,34.1,-29.8,174.03,234.89,-5.2,0.51,,,,,,
FIS,FIS,Oversold Bounce,MODERADA,50,49.21,$59.39 - $61.82,66.82,57.58,0.0,2026-03-19,40.4,-26.5,60.61,66.82,-18.8,0.86,,,,,,
DIN,DIN,Oversold Bounce,MODERADA,50,28.24,$30.8 - $32.06,35.02,29.86,0.0,2026-03-19,35.1,-26.7,31.43,35.02,-10.2,0.59,,,,,,
PSQH,PSQH,Oversold Bounce,MODERADA,50,0.67,$1.0 - $1.04,1.33,0.97,0.0,2026-03-19,48.0,-43.0,1.02,1.33,-34.0,0.82,,,,,,
NRDY,NRDY,Oversold Bounce,MODERADA,50,0.82,$0.96 - $1.0,1.15,0.93,0.0,2026-03-19,33.2,-35.3,0.98,1.15,-16.1,0.84,,,,,,
SPRU,SPRU,Oversold Bounce,MODERADA,50,3.65,$3.93 - $4.09,5.75,3.81,0.0,2026-03-19,39.9,-43.5,4.01,5.75,-9.0,0.77,,,,,,
GLGI,GLGI,Oversold Bounce,MODERADA,50,0.28,$0.52 - $0.54,0.63,0.5,0.0,2026-03-19,30.8,-55.6,0.53,0.63,-47.2,0.63,,,,,,
INTZ,INTZ,Oversold Bounce,MODERADA,50,1.06,$0.99 - $1.04,1.54,0.96,5.01,2026-03-19,45.5,-29.3,1.01,1.54,4.4,0.43,,,,,,
NAVN,NAVN,Oversold Bounce,MODERADA,50,9.06,$12.64 - $13.16,14.55,12.25,0.0,2026-03-19,36.5,-49.8,12.9,14.55,-29.8,0.87,,,,,,
BLND,BLND,Oversold Bounce,MODERADA,50,1.53,$2.83 - $2.95,3.34,2.75,0.0,2026-03-19,37.6,-54.2,2.89,3.34,-47.1,1.14,,,,,,
ACVA,ACVA,Oversold Bounce,MODERADA,50,4.64,$6.28 - $6.53,8.98,6.08,0.0,2026-03-19,48.8,-48.3,6.4,8.98,-27.6,0.46,,,,,,
MYSZ,MYSZ,Oversold Bounce,MODERADA,50,0.62,$0.73 - $0.76,1.18,0.71,0.0,2026-03-19,64.9,-43.1,0.74,1.18,-16.6,0.33,,,,,,
RPD,RPD,Oversold Bounce,MODERADA,50,6.19,$9.59 - $9.99,16.7,9.3,0.0,2026-03-19,46.6,-60.4,9.79,16.7,-36.8,1.19,,,,,,
SQNS,SQNS,Oversold Bounce,MODERADA,50,3.17,$4.4 - $4.58,6.27,4.27,0.0,2026-03-19,58.1,-45.2,4.49,6.27,-29.4,1.02,,,,,,
WYY,WYY,Oversold Bounce,MODERADA,50,4.73,$5.2 - $5.42,7.34,5.04,0.0,2026-03-19,58.9,-35.9,5.31,7.34,-10.9,0.18,,,,,,
YYAI,YYAI,Oversold Bounce,MODERADA,50,0.91,$0.86 - $0.9,1.45,0.84,6.96,2026-03-19,47.8,-44.6,0.88,1.45,3.7,0.66,,,,,,
MSTR,MSTR,Oversold Bounce,MODERADA,50,140.56,$148.91 - $154.99,188.99,144.35,0.0,2026-03-19,54.9,-21.6,151.95,188.99,-7.5,1.05,,,,,,
SCKT,SCKT,Oversold Bounce,MODERADA,50,0.87,$0.88 - $0.92,1.24,0.85,22.77,2026-03-19,44.6,-34.5,0.9,1.24,-3.2,0.06,,,,,,
