ticker,precio,vcp_score,calidad_patron,num_contracciones,contracciones,profundidad_base,etapa_analisis,trend_score,volumen_score,breakout_potential,listo_comprar,sector,market_cap,razon
CSGP,42.90999984741211,59.225,Excellent,20,11.3% → 5.1% → 11.6% → 7.6% → 5.3% → 3.6% → 3.6% → 13.2% → 4.5% → 7.4% → 11.2% → 13.7% → 19.3% → 6.2% → 6.6% → 10.6% → 9.4% → 17.4% → 37.9% → 17.1%,37.933967087330245,Stage Unknown,0.0,73.625,45.0,False,Real Estate,18186235904,VCP 20 contracciones (Excellent) | Base: 37.9% | Stage Unknown
BX,109.3499984741211,59.05294117647058,Excellent,17,12.3% → 8.0% → 3.4% → 4.4% → 8.0% → 8.3% → 4.7% → 4.4% → 19.4% → 14.4% → 9.1% → 5.5% → 4.1% → 10.0% → 24.1% → 18.6% → 13.1%,24.14315443671534,Stage Unknown,0.0,58.76470588235294,73.0,False,Financial Services,133654347776,VCP 17 contracciones (Excellent) | Base: 24.1% | Stage Unknown
BR,170.83999633789062,58.51904761904762,Excellent,21,14.0% → 3.3% → 7.7% → 3.4% → 3.2% → 4.1% → 3.9% → 5.5% → 5.9% → 5.5% → 6.7% → 9.4% → 3.1% → 4.4% → 7.7% → 5.2% → 3.2% → 3.7% → 3.5% → 5.0% → 27.1%,27.081196247270295,Stage Unknown,5.0,62.5952380952381,45.0,False,Technology,19945349120,VCP 21 contracciones (Excellent) | Base: 27.1% | Stage Unknown
ACN,200.02000427246094,58.42272727272727,Excellent,22,13.5% → 7.7% → 4.1% → 4.9% → 4.6% → 15.1% → 3.0% → 9.9% → 18.7% → 3.9% → 11.9% → 4.9% → 8.1% → 3.8% → 6.6% → 4.7% → 5.0% → 5.6% → 7.0% → 5.6% → 5.0% → 35.2%,35.164382801920276,Stage Unknown,0.0,59.61363636363636,65.0,False,Technology,123099340800,VCP 22 contracciones (Excellent) | Base: 35.2% | Stage Unknown
BF-B,22.93000030517578,57.92307692307692,Excellent,26,11.5% → 5.7% → 5.2% → 4.3% → 7.3% → 22.0% → 10.7% → 3.3% → 4.7% → 8.1% → 9.9% → 5.1% → 8.3% → 14.3% → 4.8% → 3.7% → 8.5% → 5.0% → 8.3% → 4.5% → 9.7% → 19.6% → 7.5% → 4.9% → 7.8% → 17.4%,22.013850868160883,Stage Unknown,5.0,67.11538461538461,30.0,False,Consumer Defensive,10518074368,VCP 26 contracciones (Excellent) | Base: 22.0% | Stage Unknown
TECH,52.0,57.91666666666667,Excellent,6,19.1% → 8.4% → 14.3% → 14.5% → 22.4% → 7.6%,22.378545319764378,Stage Unknown,0.0,54.583333333333336,70.0,False,Healthcare,8135571456,VCP 6 contracciones (Excellent) | Base: 22.4% | Stage Unknown
CNC,32.810001373291016,57.64285714285714,Excellent,21,12.4% → 10.2% → 11.5% → 13.2% → 3.8% → 5.1% → 52.4% → 15.0% → 6.4% → 6.1% → 12.4% → 14.0% → 10.0% → 10.1% → 11.4% → 9.9% → 6.7% → 8.9% → 5.6% → 9.2% → 22.5%,52.41907311485505,Stage Unknown,0.0,73.21428571428571,30.0,False,Healthcare,16135007232,VCP 21 contracciones (Excellent) | Base: 52.4% | Stage Unknown
APP,458.95001220703125,57.44444444444444,Excellent,9,26.9% → 11.2% → 27.5% → 10.0% → 19.3% → 25.1% → 36.8% → 25.5% → 15.7%,36.81218312817822,Stage Unknown,0.0,62.22222222222222,50.0,False,Communication Services,155104460800,VCP 9 contracciones (Excellent) | Base: 36.8% | Stage Unknown
CPB,21.0,57.21923076923076,Excellent,26,10.9% → 6.1% → 8.3% → 5.2% → 8.5% → 4.5% → 8.9% → 5.7% → 8.1% → 5.1% → 5.0% → 5.1% → 6.9% → 4.0% → 4.1% → 3.7% → 10.0% → 7.5% → 5.9% → 3.9% → 12.2% → 9.1% → 4.9% → 8.3% → 3.9% → 11.2%,12.203500041052239,Stage Unknown,0.0,67.09615384615384,38.0,False,Consumer Defensive,6261076480,VCP 26 contracciones (Excellent) | Base: 12.2% | Stage Unknown
FICO,1063.3299560546875,57.137499999999996,Excellent,24,16.2% → 8.5% → 4.3% → 33.1% → 5.1% → 10.8% → 22.5% → 3.6% → 16.7% → 4.8% → 5.4% → 8.9% → 5.0% → 20.8% → 6.3% → 7.9% → 7.8% → 4.3% → 4.9% → 8.5% → 12.3% → 11.4% → 19.2% → 13.9%,33.06773206624472,Stage Unknown,0.0,66.6875,38.0,False,Technology,25224456192,VCP 24 contracciones (Excellent) | Base: 33.1% | Stage Unknown
BLDR,84.66000366210938,56.87142857142857,Excellent,21,15.6% → 15.9% → 19.0% → 11.2% → 4.9% → 4.1% → 11.4% → 14.6% → 9.9% → 9.5% → 6.6% → 23.0% → 8.6% → 8.3% → 26.0% → 10.4% → 9.6% → 6.1% → 8.1% → 15.4% → 11.3%,25.982586043313553,Stage Unknown,0.0,65.35714285714286,38.0,False,Industrials,9363825664,VCP 21 contracciones (Excellent) | Base: 26.0% | Stage Unknown
