Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSAV,Dow Jones U.S. Media Agencies Index,291.0,263.38,547.04,10.48674918368897,59.72998772671484,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSEH,Dow Jones U.S. Real Estate Holding & Development Index,68.56,50.8,69.58,34.96062992125986,17.632552404439025,🔴,FUERTE,129,2026-03-20 08:54:34,2026-03-20,0,65,65,False,0,0,[],[],MEDIA,BAJO,0
DJUSTL,Dow Jones U.S. Telecommunications Index,191.15,157.97,200.14,21.003988099006147,57.50811688311685,🟡,CERCA,251,2026-03-20 08:54:34,2026-03-20,0,65,65,False,0,0,[],[],MEDIA,BAJO,0
DJUSFC,Dow Jones U.S. Fixed Line Telecommunications Index,165.97,137.34,175.95,20.84607543323139,52.9198404062387,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,65,65,False,0,0,[],[],MEDIA,BAJO,0
DJUSRS,Dow Jones U.S. Specialty Retailers Index,3783.1,3427.2,4908.8,10.384570494864615,82.83582089552239,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,63,63,False,0,0,[],[],MEDIA,ALTO,0
DJUSBV,Dow Jones U.S. Beverages Index,1002.18,895.65,1104.64,11.894155082900683,89.72515180568878,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,62,62,False,0,0,[],[],MEDIA,ALTO,0
DJUSHD,Dow Jones U.S. Durable Household Products Index,107.5,94.51,152.38,13.7445772934081,88.17921830314582,🟡,CERCA,251,2026-03-20 08:54:34,2026-03-20,0,62,62,False,0,0,[],[],MEDIA,ALTO,0
DJUSSD,Dow Jones U.S. Soft Drinks Index,982.33,874.51,1082.9,12.329190060719723,90.06073539067629,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,62,62,False,0,0,[],[],MEDIA,ALTO,0
DJUSPG,Sector PG,474.97,426.49,576.81,11.367206734038318,87.0841487279843,🟡,CERCA,251,2026-03-20 08:54:34,2026-03-20,0,62,62,False,0,0,[],[],MEDIA,ALTO,0
DJUSME,Dow Jones U.S. Media Index,751.83,662.35,903.98,13.509473843134298,81.76081268277665,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,62,62,False,0,0,[],[],MEDIA,ALTO,0
DJUSPC,Dow Jones U.S. Waste & Disposal Services Index,667.66,589.23,708.03,13.310591789284311,75.61983471074393,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,62,62,False,0,0,[],[],MEDIA,ALTO,0
DJUSVN,Dow Jones U.S. Distillers & Vintners Index,291.54,260.67,391.16,11.842559558061918,74.80247704462948,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,62,62,False,0,0,[],[],MEDIA,ALTO,0
DJUSTB,Dow Jones U.S. Tobacco Index,1126.79,978.74,1286.27,15.126591331712197,75.2347196561216,🟡,CERCA,251,2026-03-20 08:54:34,2026-03-20,0,61,61,False,0,0,[],[],MEDIA,ALTO,0
DJUSGI,Dow Jones U.S. General Industrials Index,711.85,613.23,834.56,16.082057303132594,87.24617307091525,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,61,61,False,0,0,[],[],MEDIA,ALTO,0
