ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
LAND.L,CAUTION,-16,"Value trap MEDIUM: FCF negativo (-4.8%) — quema caja pese a valuación barata | Dividendo AT RISK (yield 13.4%, safety 25) | Caro vs peers en Real Estate (FCF rank 4/4)",2026-04-14
LB,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LDO.MI,WATCH,3,Piotroski fuerte (9.0/9),2026-04-14
LIFE,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LIN,WATCH,-3,Caro vs peers en Basic Materials (FCF rank 14/17),2026-04-14
LOB,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LOGN.SW,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Technology (6.1% vs media sector 4.5%),2026-04-14
LONN.SW,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LPG,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LRLCY,WATCH,-3,Caro vs peers en Consumer Defensive (FCF rank 19/24),2026-04-14
LSEG.L,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
LTC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LYFT,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
MA,WATCH,3,Piotroski fuerte (9.0/9),2026-04-14
MC.PA,BEST,5,Mejor FCF en Consumer Cyclical (4.8% vs media sector 4.7%),2026-04-14
MCO,WATCH,0,Caro vs peers en Financial Services (FCF rank 22/23) | Piotroski fuerte (8.0/9),2026-04-14
MCY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
MKC,WATCH,-3,Caro vs peers en Consumer Defensive (FCF rank 20/24),2026-04-14
MNDI.L,WATCH,-3,Caro vs peers en Basic Materials (FCF rank 17/17),2026-04-14
MNR,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
MONC.MI,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
MRK.DE,CAUTION,-3,Quality decay MEDIUM: Salud financiera cayó 10pts (80 → 70/100) | Mejor FCF en Healthcare (5.4% vs media sector 5.8%),2026-04-14
MSCI,WATCH,0,Caro vs peers en Financial Services (FCF rank 21/23) | Piotroski fuerte (8.0/9),2026-04-14
MSFT,EXIT,-18,Señal salida HIGH: Score cayó 28pts (72 → 44) | Caro vs peers en Technology (FCF rank 24/26),2026-04-14
MSGM,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
MTDR,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
MTX.DE,WATCH,-3,Caro vs peers en Industrials (FCF rank 47/50),2026-04-14
MUV2.DE,BEST,5,Mejor FCF en Financial Services (8.7% vs media sector 5.8%),2026-04-14
NBTB,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
NDAQ,WATCH,0,Caro vs peers en Financial Services (FCF rank 20/23) | Piotroski fuerte (9.0/9),2026-04-14
NDSN,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
NEWT,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
NG.L,CAUTION,-5,Value trap MEDIUM: FCF negativo (-5.5%) — quema caja pese a valuación barata | Piotroski fuerte (7.0/9),2026-04-14
NIC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
NOW,CAUTION,-3,Value trap MEDIUM: Piotroski débil (4/9) | Mejor FCF en Technology (5.7% vs media sector 4.5%),2026-04-14
NRIM,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
NSC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
NTGY.MC,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Utilities (5.2% vs media sector -3.9%),2026-04-14
NVT,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
OHI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ORLY,WATCH,0,Caro vs peers en Consumer Cyclical (FCF rank 18/20) | Piotroski fuerte (7.0/9),2026-04-14
PAH3.DE,CAUTION,-11,Value trap MEDIUM: FCF negativo (-5.5%) — quema caja pese a valuación barata | Caro vs peers en Consumer Cyclical (FCF rank 20/20),2026-04-14
