ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
CVCO,"Cavco Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,511.29,$493.92 - $514.08,595.8,478.8,2.6,2026-03-17,22.5,-26.7,504.0,595.8,1.4,0.89,,,,,,
ALIT,"Alight,",Oversold Bounce,⭐⭐ MUY BUENA,70,0.79,$1.46 - $1.52,2.36,1.42,0.0,2026-03-17,52.0,-62.8,1.49,2.36,-47.0,1.55,,,,,,
SPRU,Spruce Power Holding,Oversold Bounce,⭐⭐ MUY BUENA,70,3.86,$3.93 - $4.09,5.75,3.81,37.43,2026-03-17,40.3,-40.2,4.01,5.75,-3.7,1.53,,,,,,
VEEE,VEEE,Oversold Bounce,⭐⭐ MUY BUENA,70,0.35,$1.56 - $1.62,2.66,1.51,0.0,2026-03-17,37.0,-82.4,1.59,2.66,-77.7,12.3,,,,,,
ENPH,"Enphase Energy,",Bull Flag Pullback,⭐ BUENA,60,45.89,$44.97 - $46.81,51.67,40.36,1.04,2026-03-17,,,,,,,63.5,-11.2,41.6,41.6,Bearish,False
LUCK,Lucky Strike Entertainment,Bull Flag Pullback,⭐ BUENA,60,7.96,$7.8 - $8.12,9.26,8.04,0.0,2026-03-17,,,,,,,47.0,-14.0,8.29,8.29,Bearish,False
GPN,Global Payments,Oversold Bounce,MODERADA,55,68.05,$69.6 - $72.44,82.2,67.47,24.3,2026-03-17,15.0,-17.2,71.02,82.2,-4.2,0.54,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,MODERADA,55,8.69,$10.59 - $11.02,15.78,10.26,0.0,2026-03-17,26.0,-14.0,10.81,15.78,-19.6,0.74,,,,,,
UA,"Under Armour,",Oversold Bounce,MODERADA,55,6.19,$3.96 - $4.12,4.92,3.84,-0.54,2026-03-17,12.7,-21.4,4.04,4.92,53.2,0.83,,,,,,
NKE,"NIKE,",Oversold Bounce,MODERADA,55,54.79,$59.07 - $61.48,66.6,57.26,0.0,2026-03-17,11.7,-16.8,60.27,66.6,-9.1,0.69,,,,,,
PATK,"Patrick Industries,",Oversold Bounce,MODERADA,55,114.74,$94.29 - $98.14,123.82,91.41,0.39,2026-03-17,10.9,-21.0,96.22,123.82,19.3,0.66,,,,,,
WS,"Worthington Steel,",Oversold Bounce,MODERADA,55,32.28,$29.81 - $31.02,42.39,28.9,2.99,2026-03-17,7.7,-33.4,30.42,42.39,6.1,0.86,,,,,,
CMC,Commercial Metals,Oversold Bounce,MODERADA,55,61.63,$55.66 - $57.94,71.19,53.96,1.25,2026-03-17,16.1,-25.9,56.8,71.19,8.5,0.65,,,,,,
KKR,KKR &,Oversold Bounce,MODERADA,50,86.1,$114.78 - $119.47,135.57,111.27,0.0,2026-03-17,34.9,-36.5,117.13,135.57,-26.5,0.57,,,,,,
PODD,Insulet,Oversold Bounce,MODERADA,50,224.66,$270.86 - $281.91,314.2,262.57,0.0,2026-03-17,30.5,-24.9,276.39,314.2,-18.7,0.91,,,,,,
CRM,"Salesforce,",Oversold Bounce,MODERADA,50,198.34,$197.55 - $205.62,264.61,191.5,9.69,2026-03-17,60.6,-25.5,201.58,264.61,-1.6,0.91,,,,,,
CRL,CRL,Oversold Bounce,MODERADA,50,151.97,$156.62 - $163.02,197.04,151.83,319.64,2026-03-17,39.0,-33.0,159.82,197.04,-4.9,0.42,,,,,,
POOL,POOL,Oversold Bounce,MODERADA,50,208.78,$235.35 - $244.95,268.14,228.14,0.0,2026-03-17,42.3,-22.6,240.15,268.14,-13.1,0.74,,,,,,
ROP,"Roper Technologies,",Oversold Bounce,MODERADA,50,352.2,$369.59 - $384.68,454.27,358.28,0.0,2026-03-17,61.9,-22.0,377.14,454.27,-6.6,0.62,,,,,,
CSGP,CSGP,Oversold Bounce,MODERADA,50,43.62,$62.35 - $64.89,68.53,60.44,0.0,2026-03-17,31.7,-35.7,63.62,68.53,-31.4,0.81,,,,,,
HUM,HUM,Oversold Bounce,MODERADA,50,169.99,$218.08 - $226.98,278.88,211.4,0.0,2026-03-17,45.5,-40.1,222.53,278.88,-23.6,0.71,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,MODERADA,50,50.44,$59.39 - $61.82,66.82,57.58,0.0,2026-03-17,65.2,-24.7,60.61,66.82,-16.8,0.87,,,,,,
SNES,"SenesTech,",Oversold Bounce,MODERADA,50,1.86,$1.74 - $1.82,2.69,1.69,4.88,2026-03-17,40.9,-23.1,1.78,2.69,4.5,0.96,,,,,,
SXC,"SunCoke Energy,",Oversold Bounce,MODERADA,50,5.82,$5.81 - $6.05,8.22,5.64,13.04,2026-03-17,51.5,-30.2,5.93,8.22,-1.9,0.81,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,MODERADA,50,3.22,$4.4 - $4.58,6.27,4.27,0.0,2026-03-17,65.8,-44.3,4.49,6.27,-28.3,0.52,,,,,,
NAVN,"Navan,",Oversold Bounce,MODERADA,50,8.81,$12.64 - $13.16,18.06,12.25,0.0,2026-03-17,45.0,-51.2,12.9,18.06,-31.7,0.86,,,,,,
WYY,WidePoint,Oversold Bounce,MODERADA,50,4.98,$5.2 - $5.42,7.34,5.04,0.0,2026-03-17,71.6,-32.5,5.31,7.34,-6.2,0.74,,,,,,
RAL,Ralliant,Oversold Bounce,MODERADA,50,42.79,$42.05 - $43.76,52.21,40.76,4.64,2026-03-17,41.9,-23.9,42.9,52.21,-0.3,0.64,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,24.12,$29.6 - $30.8,35.75,28.69,0.0,2026-03-17,76.3,-32.5,30.2,35.75,-20.1,0.99,,,,,,
LAW,"CS Disco,",Oversold Bounce,MODERADA,50,4.46,$5.74 - $5.98,8.02,5.57,0.0,2026-03-17,68.5,-47.3,5.86,8.02,-23.9,0.26,,,,,,
VERX,VERX,Oversold Bounce,MODERADA,50,13.25,$18.67 - $19.44,23.28,18.1,0.0,2026-03-17,49.9,-35.2,19.06,23.28,-30.5,0.92,,,,,,
SONO,"Sonos,",Oversold Bounce,MODERADA,50,13.34,$14.81 - $15.41,17.83,14.35,0.0,2026-03-17,35.6,-27.7,15.11,17.83,-11.7,0.55,,,,,,
SSTI,SSTI,Oversold Bounce,MODERADA,50,6.81,$6.4 - $6.66,8.45,6.2,2.7,2026-03-17,45.7,-24.9,6.53,8.45,4.3,0.61,,,,,,
CEVA,CEVA,Oversold Bounce,MODERADA,50,18.66,$19.18 - $19.97,23.69,18.6,78.98,2026-03-17,41.0,-21.3,19.57,23.69,-4.7,0.81,,,,,,
SPT,"Sprout Social,",Oversold Bounce,MODERADA,50,5.71,$9.16 - $9.54,11.37,8.88,0.0,2026-03-17,33.9,-51.1,9.35,11.37,-38.9,0.89,,,,,,
TYL,TYL,Oversold Bounce,MODERADA,50,348.63,$441.02 - $459.02,472.77,427.52,0.0,2026-03-17,63.8,-25.0,450.02,472.77,-22.5,0.63,,,,,,
PAR,PAR Technology,Oversold Bounce,MODERADA,50,14.65,$32.51 - $33.83,37.73,31.51,0.0,2026-03-17,34.6,-63.1,33.17,37.73,-55.8,1.18,,,,,,
THRY,"Thryv,",Oversold Bounce,MODERADA,50,2.66,$5.28 - $5.5,6.17,5.12,0.0,2026-03-17,36.3,-56.6,5.39,6.17,-50.6,0.5,,,,,,
CSPI,CSPI,Oversold Bounce,MODERADA,50,8.84,$10.72 - $11.16,14.17,10.39,0.0,2026-03-17,47.2,-33.7,10.94,14.17,-19.2,0.52,,,,,,
NRDY,Nerdy,Oversold Bounce,MODERADA,50,0.91,$0.96 - $1.0,1.15,0.93,0.0,2026-03-17,52.7,-28.5,0.98,1.15,-7.4,0.44,,,,,,
IBM,International Business Machines,Oversold Bounce,MODERADA,50,249.25,$281.16 - $292.63,310.65,272.55,0.0,2026-03-17,69.8,-20.4,286.89,310.65,-13.1,0.72,,,,,,
ACVA,ACV Auctions,Oversold Bounce,MODERADA,50,4.87,$6.28 - $6.53,8.98,6.08,0.0,2026-03-17,52.9,-45.8,6.4,8.98,-24.0,0.52,,,,,,
DIN,"Dine Brands Global,",Oversold Bounce,MODERADA,50,27.65,$31.01 - $32.27,35.26,30.06,0.0,2026-03-17,33.6,-28.8,31.64,35.26,-12.6,0.75,,,,,,
