ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
PATK,"Patrick Industries,",Oversold Bounce,MODERADA,55,111.65,$94.29 - $98.14,123.82,91.41,0.6,2026-03-24,24.7,-23.1,96.22,123.82,16.0,0.8,,,,,,
WS,"Worthington Steel,",Oversold Bounce,MODERADA,55,32.63,$29.81 - $31.02,42.39,28.9,2.61,2026-03-24,16.5,-32.7,30.42,42.39,7.3,0.77,,,,,,
CMC,Commercial Metals,Oversold Bounce,MODERADA,55,61.88,$55.66 - $57.94,71.19,53.96,1.18,2026-03-24,22.4,-25.6,56.8,71.19,8.9,0.85,,,,,,
KKR,KKR &,Oversold Bounce,MODERADA,50,90.84,$114.78 - $119.47,135.57,111.27,0.0,2026-03-24,50.6,-33.0,117.13,135.57,-22.4,0.62,,,,,,
PODD,Insulet,Oversold Bounce,MODERADA,50,227.08,$270.86 - $281.91,314.2,262.57,0.0,2026-03-24,34.0,-24.1,276.39,314.2,-17.8,0.63,,,,,,
BA,The Boeing,Oversold Bounce,MODERADA,50,198.41,$206.52 - $214.94,237.74,200.19,0.0,2026-03-24,32.7,-21.3,210.73,237.74,-5.8,0.75,,,,,,
CRL,CRL,Oversold Bounce,MODERADA,50,158.0,$156.62 - $163.02,197.04,151.83,6.33,2026-03-24,35.9,-30.3,159.82,197.04,-1.1,0.65,,,,,,
CRM,"Salesforce,",Oversold Bounce,MODERADA,50,195.18,$197.55 - $205.62,262.99,191.5,18.45,2026-03-24,49.0,-26.7,201.58,262.99,-3.2,0.94,,,,,,
ROP,"Roper Technologies,",Oversold Bounce,MODERADA,50,353.48,$369.59 - $384.68,451.32,358.28,0.0,2026-03-24,47.1,-21.5,377.14,451.32,-6.3,0.89,,,,,,
CSGP,CSGP,Oversold Bounce,MODERADA,50,42.91,$62.35 - $64.89,68.53,60.44,0.0,2026-03-24,31.0,-36.8,63.62,68.53,-32.6,1.02,,,,,,
HUM,HUM,Oversold Bounce,MODERADA,50,170.14,$218.08 - $226.98,273.8,211.4,0.0,2026-03-24,34.1,-40.1,222.53,273.8,-23.5,0.76,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,MODERADA,50,49.77,$59.39 - $61.82,66.67,57.58,0.0,2026-03-24,49.5,-25.7,60.61,66.67,-17.9,0.63,,,,,,
SNES,"SenesTech,",Oversold Bounce,MODERADA,50,1.84,$1.74 - $1.82,2.69,1.69,5.67,2026-03-24,38.4,-23.3,1.78,2.69,3.4,0.47,,,,,,
SXC,"SunCoke Energy,",Oversold Bounce,MODERADA,50,6.06,$5.81 - $6.05,8.22,5.64,5.09,2026-03-24,51.1,-27.4,5.93,8.22,2.1,0.87,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,MODERADA,50,3.01,$4.4 - $4.58,6.27,4.27,0.0,2026-03-24,49.4,-47.9,4.49,6.27,-33.0,0.51,,,,,,
NAVN,"Navan,",Oversold Bounce,MODERADA,50,8.89,$12.64 - $13.16,14.55,12.25,0.0,2026-03-24,40.0,-50.8,12.9,14.55,-31.1,0.78,,,,,,
RAL,Ralliant,Oversold Bounce,MODERADA,50,42.29,$42.05 - $43.76,52.21,40.76,6.48,2026-03-24,37.4,-24.8,42.9,52.21,-1.4,0.57,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,23.72,$29.6 - $30.8,35.69,28.69,0.0,2026-03-24,52.2,-33.7,30.2,35.69,-21.5,0.61,,,,,,
LAW,"CS Disco,",Oversold Bounce,MODERADA,50,4.22,$5.74 - $5.98,7.14,5.57,0.0,2026-03-24,56.9,-47.7,5.86,7.14,-28.0,0.25,,,,,,
CNDT,CNDT,Oversold Bounce,MODERADA,50,1.28,$1.79 - $1.86,2.07,1.73,0.0,2026-03-24,37.5,-38.2,1.82,2.07,-29.9,1.04,,,,,,
MSTR,Strategy,Oversold Bounce,MODERADA,50,138.2,$148.91 - $154.99,184.16,144.35,0.0,2026-03-24,54.3,-22.9,151.95,184.16,-9.0,0.96,,,,,,
SONO,"Sonos,",Oversold Bounce,MODERADA,50,13.59,$14.81 - $15.41,17.62,14.35,0.0,2026-03-24,36.2,-24.9,15.11,17.62,-10.1,0.66,,,,,,
SSTI,SSTI,Oversold Bounce,MODERADA,50,6.67,$6.31 - $6.57,8.45,6.12,3.22,2026-03-24,37.2,-26.5,6.44,8.45,3.6,0.52,,,,,,
CEVA,CEVA,Oversold Bounce,MODERADA,50,18.84,$19.18 - $19.97,23.69,18.6,19.92,2026-03-24,32.7,-20.5,19.57,23.69,-3.8,0.95,,,,,,
THRY,"Thryv,",Oversold Bounce,MODERADA,50,2.97,$5.28 - $5.5,6.17,5.12,0.0,2026-03-24,50.9,-51.5,5.39,6.17,-44.9,0.34,,,,,,
TYL,TYL,Oversold Bounce,MODERADA,50,349.09,$438.06 - $455.94,468.87,424.65,0.0,2026-03-24,34.5,-24.3,447.0,468.87,-21.9,0.47,,,,,,
ALKT,ALKT,Oversold Bounce,MODERADA,50,16.96,$18.7 - $19.46,23.67,18.13,0.0,2026-03-24,50.2,-28.3,19.08,23.67,-11.1,0.51,,,,,,
IBM,International Business Machines,Oversold Bounce,MODERADA,50,248.44,$281.16 - $292.63,310.65,272.55,0.0,2026-03-24,52.8,-20.6,286.89,310.65,-13.4,0.74,,,,,,
IP,International Paper,Oversold Bounce,MODERADA,50,35.56,$36.46 - $37.95,45.62,35.35,47.55,2026-03-24,30.1,-27.0,37.21,45.62,-4.4,1.16,,,,,,
BH,Biglari,Oversold Bounce,MODERADA,50,321.53,$316.17 - $329.07,425.96,306.49,6.94,2026-03-24,45.2,-32.6,322.62,425.96,-0.3,0.54,,,,,,
DIN,"Dine Brands Global,",Oversold Bounce,MODERADA,50,27.26,$30.8 - $32.06,35.02,29.86,0.0,2026-03-24,34.1,-29.3,31.43,35.02,-13.3,0.75,,,,,,
BJRI,BJRI,Oversold Bounce,MODERADA,50,35.38,$33.16 - $34.52,42.06,32.15,2.07,2026-03-24,47.4,-22.2,33.84,42.06,4.6,0.53,,,,,,
GLGI,"Greystone Logistics,",Oversold Bounce,MODERADA,50,0.29,$0.52 - $0.54,0.48,0.5,0.0,2026-03-24,35.7,-54.0,0.53,0.48,-45.3,0.04,,,,,,
